Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date
106524;AIG India Treasury Fund-Institutional Plan-Daily Dividend Option;10.0110;10.0110;10.0110;06-Aug-2009
106523;AIG India Treasury Fund-Institutional Plan-Growth Option;11.6267;11.6267;11.6267;06-Aug-2009
106525;AIG India Treasury Fund-Institutional Plan-Monthly Dividend Option;10.0246;10.0246;10.0246;06-Aug-2009
106535;AIG India Treasury Fund-Institutional Plan-Weekly Dividend Option;10.0150;10.0150;10.0150;06-Aug-2009
106534;AIG India Treasury Fund-Retail Plan-Daily Dividend Option;10.0110;10.0110;10.0110;06-Aug-2009
106521;AIG India Treasury Fund-Retail Plan-Growth Option;11.5509;11.5509;11.5509;06-Aug-2009
106530;AIG India Treasury Fund-Retail Plan-Monthly Dividend Option;10.0237;10.0237;10.0237;06-Aug-2009
106531;AIG India Treasury Fund-Retail Plan-Quarterly Dividend Option;10.0738;10.0738;10.0738;06-Aug-2009
106522;AIG India Treasury Fund-Retail Plan-Weekly Dividend Option;10.0147;10.0147;10.0147;06-Aug-2009
106527;AIG India Treasury Fund-Super Institutional Plan-Daily Dividend Option;10.0110;10.0110;10.0110;06-Aug-2009
106533;AIG India Treasury Fund-Super Institutional Plan-Growth Option;11.6490;11.6490;11.6490;06-Aug-2009
106538;AIG India Treasury Fund-Super Institutional Plan-Monthly Dividend Option;10.0249;10.0249;10.0249;06-Aug-2009
106537;AIG India Treasury Fund-Super Institutional Plan-Weekly Dividend Option;10.0151;10.0151;10.0151;06-Aug-2009
107718;AIG Short Term Fund-Institutional Plan-Growth Option;1072.5652;1069.8838;1072.5652;06-Aug-2009
107720;AIG Short Term Fund-Institutional Plan-Monthly Dividend Option;1002.6193;1000.1128;1002.6193;06-Aug-2009
107722;AIG Short Term Fund-Institutional Plan-Weekly Dividend Option;1001.4858;998.9821;1001.4858;06-Aug-2009
107715;AIG Short Term Fund-Retail Plan-Growth Option;1113.9925;1111.2075;1113.9925;06-Aug-2009
107721;AIG Short Term Fund-Retail Plan-Monthly Dividend Option;1002.5370;1000.0307;1002.5370;06-Aug-2009
107717;AIG Short Term Fund-Retail Plan-Weekly Dividend Option;1001.4612;998.9575;1001.4612;06-Aug-2009
102670;BARODA PIONEER CHILDREN FUND-GIFT PLAN;10.2752;10.1724;10.2752;06-Aug-2009
102671;BARODA PIONEER CHILDREN FUND-STUDY PLAN;9.0977;9.0067;9.0977;06-Aug-2009
101155;BARODA PIONEER INCOME FUND-Dividend Plan;13.9356;13.7962;13.9356;06-Aug-2009
101154;BARODA PIONEER INCOME FUND-Growth Plan;13.9330;13.7937;13.9330;06-Aug-2009
102661;BARODA PIONEER MIP FUND-Growth Plan;12.1741;12.0524;12.1741;06-Aug-2009
102662;BARODA PIONEER MIP FUND-Monthly Dividend Plan;12.1792;12.0574;12.1792;06-Aug-2009
102663;BARODA PIONEER MIP FUND-Quarterly Dividend Plan;12.1747;12.0530;12.1747;06-Aug-2009
112032;Baroda Pioneer Treasury Advantage Fund- Institutional Plan- Daily Dividend Option;10.0091;9.9991;10.0091;06-Aug-2009
112029;Baroda Pioneer Treasury Advantage Fund- Institutional Plan- Growth Option;10.0641;10.0540;10.0641;06-Aug-2009
112033;Baroda Pioneer Treasury Advantage Fund- Institutional Plan- Weekly Dividend Option;10.0192;10.0092;10.0192;06-Aug-2009
112025;Baroda Pioneer Treasury Advantage Fund- Regular Plan - Daily Dividend Option;10.0095;9.9995;10.0095;06-Aug-2009
112031;Baroda Pioneer Treasury Advantage Fund- Regular Plan - Growth Option;10.0606;10.0505;10.0606;06-Aug-2009
112027;Baroda Pioneer Treasury Advantage Fund- Regular Plan - Monthly Dividend Option;10.0611;10.0510;10.0611;06-Aug-2009
112026;Baroda Pioneer Treasury Advantage Fund- Regular Plan - Weekly Dividend Option;10.0458;10.0358;10.0458;06-Aug-2009
111719;Bharti AXA Regular Return Fund-ECO Plan-Annual Dividend;10.9580;10.8484;10.9580;06-Aug-2009
111715;Bharti AXA Regular Return Fund-ECO Plan-Growth;10.9580;10.8484;10.9580;06-Aug-2009
111717;Bharti AXA Regular Return Fund-ECO Plan-Monthly Dividend;10.7865;10.6786;10.7865;06-Aug-2009
111718;Bharti AXA Regular Return Fund-ECO Plan-Quarterly Dividend;10.8713;10.7626;10.8713;06-Aug-2009
111714;Bharti AXA Regular Return Fund-Regular Plan-Annual Dividend;10.9458;10.8363;10.9458;06-Aug-2009
111712;Bharti AXA Regular Return Fund-Regular Plan-Growth;10.9458;10.8363;10.9458;06-Aug-2009
111716;Bharti AXA Regular Return Fund-Regular Plan-Monthly Dividend;10.7745;10.6668;10.7745;06-Aug-2009
111713;Bharti AXA Regular Return Fund-Regular Plan-Quarterly Dividend;10.8593;10.7507;10.8593;06-Aug-2009
