SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
533022,20 MICRONS  ,B ,Q,41.10,42.95,39.55,39.55,39.55,41.60,577,110765,4441760.00,
526921,21ST CEN.MGM,B ,Q,14.70,16.30,14.70,14.95,14.81,15.61,106,30033,473621.00,
532628,3I INFOTECH ,B ,Q,85.25,86.20,82.00,84.20,84.20,84.80,2645,468044,39632606.00,
523395,3M INDIA LTD,B ,Q,1531.00,1556.80,1531.00,1540.00,1540.00,1528.35,22,195,300433.00,
530499,A.K.CAPITAL ,B ,Q,246.05,253.00,245.10,253.00,253.00,250.00,12,303,75575.00,
500009,A.SARABHAI  ,B ,Q,13.99,13.99,12.72,12.84,12.79,12.95,157,43768,570069.00,
531190,A.V.COTTEX  ,B ,Q,10.98,10.98,9.71,9.71,9.71,9.49,2,525,5447.00,
530027,AADI INDUS L,T ,Q,26.50,27.70,26.50,27.70,27.70,26.45,6,1000,27019.00,
524412,AAREY DRUGS ,B ,Q,43.75,44.25,42.00,43.30,43.60,43.50,91,65574,2848949.00,
524348,AARTI DRUGS ,B ,Q,88.40,88.50,77.10,78.40,78.40,84.00,2523,284431,23850055.00,
524208,AARTI INDUST,B ,Q,47.20,47.45,44.65,45.20,45.20,46.15,1220,179203,8288708.00,
514274,AARVEE DENIM,B ,Q,40.00,40.40,39.10,39.10,39.10,41.15,34,5981,235530.00,
523204,ABAN OFFSHO ,A ,Q,1540.00,1575.00,1512.00,1529.45,1529.45,1529.20,25707,738243,1144081082.00,
500002,ABB LTD.    ,A ,Q,747.00,748.80,733.05,738.05,739.25,737.00,1056,51658,38190826.00,
500488,ABBOTT (I)  ,B ,Q,565.00,565.00,550.00,550.60,552.00,557.40,49,1295,714303.00,
520123,ABC INDIA   ,S ,Q,44.60,46.80,44.00,44.40,44.95,45.70,13,2392,107513.00,
532937,ABC PAPER   ,B ,Q,74.80,74.80,70.00,70.70,70.70,72.90,139,16764,1200983.00,
500057,ABCIL       ,B ,Q,80.00,81.00,76.20,76.75,76.75,78.70,932,136433,10811733.00,
520155,ABG INFRALOG,B ,Q,195.00,197.95,188.00,195.30,195.30,194.70,340,10721,2067107.00,
532682,ABG SHIPYARD,B ,Q,265.00,266.60,254.00,257.10,257.10,261.80,2465,170341,44148719.00,
532831,ABHI CORP LT,B ,Q,21.10,21.70,21.10,21.25,21.25,21.50,25,2666,57029.00,
521064,ABHISHEK IND,B ,Q,15.00,15.25,14.70,14.89,14.89,14.89,197,71470,1075831.00,
526955,ABL BIO-TECH,B ,Q,26.95,26.95,25.05,25.05,25.05,26.35,102,26272,672786.00,
531161,ABM KNOWLEDG,B ,Q,43.40,48.85,43.40,44.70,44.70,45.05,69,6602,300276.00,
500410,ACC LTD     ,A ,Q,805.00,807.00,785.00,790.30,790.30,798.20,2962,112523,89352787.00,
532774,ACCEL FRONTL,B ,Q,51.00,51.90,49.55,49.90,49.90,51.05,95,9393,474301.00,
517494,ACCEL TRANS ,B ,Q,12.56,12.98,12.50,12.72,12.72,12.91,22,6794,85638.00,
531897,ACCENT TECH ,S ,Q,112.90,113.00,106.80,108.65,108.65,110.70,254,32020,3520914.00,
530513,ACCURATE TRA,B ,Q,83.45,83.95,77.95,79.10,79.10,84.20,142,17289,1381505.00,
530093,ACE INDIA LT,B ,Q,7.59,7.59,6.95,7.35,7.35,7.25,4,410,2894.00,
