SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
533022,20 MICRONS  ,B ,Q,20.50,21.20,20.20,20.45,20.20,21.10,70,4998,103566.00,
526921,21ST CEN.MGM,B ,Q,9.00,9.24,9.00,9.12,9.00,8.99,21,3874,35080.00,
532628,3I INFOTECH ,B ,Q,61.00,62.90,57.20,57.85,57.85,59.45,16835,3551848,214105053.00,
523395,3M INDIA LTD,B ,Q,1015.10,1034.95,1015.10,1030.00,1030.00,1015.15,19,185,189511.00,
530499,A.K.CAPITAL ,B ,Q,158.00,158.00,153.00,158.00,158.00,160.00,5,152,23711.00,
500009,A.SARABHAI  ,B ,Q,11.25,11.50,11.00,11.17,11.17,11.40,67,11883,133496.00,
531190,A.V.COTTEX  ,B ,Q,9.20,9.20,9.20,9.20,9.20,8.92,1,5,46.00,
530027,AADI INDUS L,T ,Q,14.00,14.00,14.00,14.00,14.00,13.34,9,2151,30114.00,
524412,AAREY DRUGS ,B ,Q,39.00,39.45,36.05,37.65,37.90,38.65,78,53657,2040708.00,
524348,AARTI DRUGS ,B ,Q,44.10,45.30,42.60,43.05,43.35,44.40,78,4809,208806.00,
524208,AARTI INDUST,B ,Q,36.25,37.00,35.75,36.05,36.05,36.65,116,13097,475295.00,
514274,AARVEE DENIM,B ,Q,15.55,16.75,15.55,16.75,16.75,16.75,2,101,1571.00,
523204,ABAN OFFSHO ,A ,Q,470.00,494.00,460.50,473.05,473.05,464.35,32292,1531437,735113687.00,
500002,ABB LTD.    ,A ,Q,472.00,482.50,461.55,466.05,466.05,465.60,4273,110206,52313212.00,
500488,ABBOTT (I)  ,B ,Q,437.50,439.95,434.00,439.95,439.95,435.60,30,1161,509151.00,
532937,ABC PAPER   ,B ,Q,38.00,38.00,38.00,38.00,38.00,39.85,2,53,2014.00,
500057,ABCIL       ,B ,Q,43.30,46.00,43.30,44.70,44.70,44.65,51,2619,117532.00,
520155,ABG INFRALOG,B ,Q,126.00,143.00,126.00,137.65,137.75,138.90,63,3472,480678.00,
532682,ABG SHIPYARD,B ,Q,146.00,151.75,142.00,143.95,143.95,144.40,5277,389259,57245223.00,
532831,ABHI CORP LT,B ,Q,16.50,16.90,15.60,15.80,15.90,15.75,22,2858,46023.00,
521064,ABHISHEK IND,B ,Q,9.34,9.34,8.80,8.80,8.80,8.93,64,15944,142820.00,
526955,ABL BIO-TECH,T ,Q,12.15,12.79,12.15,12.39,12.37,12.60,37,9751,122519.00,
